time,mode
1856,-2.32195329775286
1857,-0.20528662313891
1858,1.16804671178388
1859,2.13138008008527
1860,-0.391953290600306
1861,-1.20862001289797
1862,-1.11195331921054
1863,1.80471348653364
1864,0.734713434081548
1865,-0.921953291792399
1866,1.20138001332807
1867,0.624713419776438
1868,1.04471337686109
1869,2.47804665456342
1870,-1.35861998905612
1871,-0.955286593336588
1872,-0.101953298944956
1873,-0.111953319210535
1874,1.30471336732435
1875,-1.08528661837054
1876,0.0680466879420216
1877,0.498046754699228
1878,1.27138006578016
1879,-1.6319532405324
1880,0.398046671252722
1881,-2.14195323099566
1882,2.4380466927104
1883,0.834713338714118
1884,1.32804667840528
1885,-0.165286601681238
1886,-1.18528658260775
1887,0.774713395934578
1888,-1.79528665651751
1889,-0.00861996521425834
1890,1.17471337209272
1891,-0.46528664340449
1892,-0.615286667991406
1893,-0.615286630738503
1894,1.82804679761457
1895,-2.51195323576403
1896,0.131380020480627
1897,0.364713369708532
1898,1.16471338162946
1899,0.641380070548528
1900,-1.19195324291659
1901,0.0580467570834097
1902,-1.03195330609751
1903,1.89471340070295
1904,0.211380063395971
1905,1.01804661641645
1906,1.34138011823225
1907,0.368046699862951
1908,0.691380022864808
1909,0.3413800586276
1910,1.40471327195692
1911,0.348046659331793
1912,0.0713800180964407
1913,1.43138003240156
1914,0.844713448386668
1915,0.801380037169928
1916,1.15804672132063
1917,-2.73195338358355
1918,-0.378619984883791
1919,0.0313799966387687
1920,1.78804659734296
1921,0.361380039554113
1922,1.35471343884992
1923,1.45138001332807
1924,-0.411953286427981
1925,2.77137994657087
1926,0.364713369708532
1927,0.334713398318762
1928,0.564713357787608
1929,-0.758619950313097
1930,0.994713305335518
1931,0.228046714168066
1932,-0.265286595720774
1933,-0.301953287024027
1934,0.0647133577876027
1935,0.598046778541078
1936,-2.25195336451006
1937,1.50804662595319
1938,0.141380070548529
1939,0.0347133863978326
1940,-1.99862003435564
1941,-1.39528662075473
1942,-0.878619910377985
1943,1.23137998471784
1944,-0.0252866159863534
1945,0.361380099158758
1946,0.141380010943884
1947,-1.57195323814822
1948,-0.0852866481728614
1949,1.62471341977644
1950,0.748046635489938
1951,-0.618619960892922
1952,0.628046749930848
1953,-0.505286620158679
1954,-0.301953287024027
1955,-1.22195327391101
1956,-1.64528668035937
1957,1.48471331487226
1958,-0.50195329000426
1959,-0.70528662313891
1960,-0.481953286726004
1961,1.41804671178388
1962,-0.0786199580617014
1963,-2.79195332636309
1964,-1.33861994852496
1965,-1.99528658499194
1966,-0.62528662120176
1967,0.564713357787608
1968,-0.711953283447748
1969,-2.75195336451006
1970,-0.681953274805075
1971,-0.841953308481699
1972,-0.561953292388445
1973,0.991379975181098
1974,0.351380049090856
1975,1.38804674039411
1976,-0.418619991440302
1977,-2.47861993421984
1978,-1.1686199914403
1979,-2.54861998667193
1980,-0.25195330490542
1981,0.621379970412728
1982,-0.79861998667193
1983,1.4947135437541
1984,1.12138008962202
1985,-1.10528659929705
1986,-1.57195329775286
1987,-0.22195321430636
1988,-0.705286638040072
1989,2.4213800419383
1990,1.55138015637922
1991,0.154713391166204
1992,1.11138009915876
1993,0.834713457923408
1994,0.598046778541078
1995,2.32138013730573
1996,-2.81528663744402
1997,-1.03861984719706
1998,0.0780467380099237
1999,0.974713324408998
2000,1.70804667363691
2001,-1.0152866255231
2002,0.448046683173648
2003,-0.405286626119143
2004,-1.20195329298449
2005,-0.295286626715189
2006,-1.29195332636309
2007,1.18138003240156
2008,1.12471330056715
2009,-1.04195326675845
2010,-3.69195342173052
2011,-1.64528656115008
2012,1.6013801086955
